一  1
冉  2 5 2 1 1
皿  2 5 2 2 1
凹  2 5 2 5 1
囚  2 5 3 4 1
四  2 5 3 5 1
生  3 1 1 2 1
矢  3 1 1 3 4
失  3 1 1 3 4
氕  3 1 1 5 3
乍  3 1 2 1 1
禾  3 1 2 3 4
仨  3 2 1 1 1
丘  3 2 1 2 1
仕  3 2 1 2 1
付  3 2 1 2 4
仗  3 2 1 3 4
代  3 2 1 5 4
仙  3 2 2 5 2
仟  3 2 3 1 2
仡  3 2 3 1 5
仫  3 2 3 5 4
伋  3 2 3 5 4
们  3 2 4 2 5
仪  3 2 4 3 4
白  3 2 5 1 1
仔  3 2 5 2 1
他  3 2 5 2 5
仞  3 2 5 3 4
斥  3 3 1 2 4
卮  3 3 1 5 5
瓜  3 3 5 4 4
仝  3 4 1 2 1
乎  3 4 3 1 2
丛  3 4 3 4 1
令  3 4 4 5 4
用  3 5 1 1 2
甩  3 5 1 1 5
印  3 5 1 5 2
氐  3 5 1 5 4
尔  3 5 2 3 4
乐  3 5 2 3 4
句  3 5 2 5 1
匆  3 5 3 3 4
犰  3 5 3 3 5
册  3 5 3 5 1
卯  3 5 3 5 2
犯  3 5 3 5 5
外  3 5 4 2 4
处  3 5 4 2 4
冬  3 5 4 4 4
鸟  3 5 4 5 1
务  3 5 4 5 3
刍  3 5 5 1 1
包  3 5 5 1 5
饥  3 5 5 3 5
主  4 1 1 2 1
冮  4 1 1 2 1
市  4 1 2 5 2
邝  4 1 3 5 2
立  4 1 4 3 1
冯  4 1 5 5 1
邙  4 1 5 5 2
玄  4 1 5 5 4
闪  4 2 5 3 4
兰  4 3 1 1 1
半  4 3 1 1 2
汁  4 4 1 1 2
汀  4 4 1 1 2
汇  4 4 1 1 5
头  4 4 1 3 4
氿  4 4 1 3 5
汈  4 4 1 5 1
汉  4 4 1 5 4
氾  4 4 1 5 5
忉  4 4 2 5 3
宁  4 4 5 1 2
穴  4 4 5 3 4
它  4 4 5 3 5
宄  4 4 5 3 5
讦  4 5 1 1 2
𬣙  4 5 1 1 2
讧  4 5 1 2 1
讨  4 5 1 2 4
写  4 5 1 5 1
让  4 5 2 1 1
礼  4 5 2 4 5
讪  4 5 2 5 2
讫  4 5 3 1 5
训  4 5 3 2 2
议  4 5 4 3 4
必  4 5 4 3 4
讯  4 5 5 1 2
记  4 5 5 1 5
永  4 5 5 3 4
讱  4 5 5 3 4
司  5 1 2 5 1
尼  5 1 3 3 5
尻  5 1 3 3 5
民  5 1 5 1 5
弗  5 1 5 3 2
弘  5 1 5 5 4
出  5 2 2 5 2
阡  5 2 3 1 2
辽  5 2 4 5 4
奶  5 3 1 5 3
奴  5 3 1 5 4
尕  5 3 2 3 4
召  5 3 2 5 1
加  5 3 2 5 1
皮  5 3 2 5 4
边  5 3 4 5 4
孕  5 3 5 2 1
发  5 3 5 4 4
圣  5 4 1 2 1
对  5 4 1 2 4
弁  5 4 1 3 2
台  5 4 2 5 1
矛  5 4 5 2 3
纠  5 5 1 5 2
驭  5 5 1 5 4
母  5 5 4 1 4
幼  5 5 4 5 3
丝  5 5 5 5 1
匡  1 1 1 2 1 5
耒  1 1 1 2 3 4
邦  1 1 1 3 5 2
玎  1 1 2 1 1 2
玑  1 1 2 1 3 5
式  1 1 2 1 5 4
迂  1 1 2 4 5 4
刑  1 1 3 2 2 2
邢  1 1 3 2 5 2
戎  1 1 3 5 3 4
动  1 1 5 4 5 3
